"HolderAddress","Balance","PendingBalanceUpdate"
"0x9f192e191897fa2ddb0cb7b08e71ad64dfc47292","0.00076","No"
"0xe154012ebf3639d0c98453fa2e3decab58cfb43d","0.000755","No"
"0xe88de19e9f2ca7b11dbe274fddf1f74ebc0269cc","0.000754","No"
"0xe44185a3a7b6454adc78a182545af95cb0f9ae93","0.00073","No"
"0xdec6516ed9d6a66557db193a9f7d95c3f148c4aa","0.00072","No"
"0xf1d17fbf7aaad0b418e06fd94918c3d9a1480bf8","0.000716","No"
"0xdb758c56879f18368be4b42722c7cf8bf1e33be4","0.00071","No"
"0x360c18938305a47d3617ffea5a7757c5834bc611","0.000702","No"
"0x3b7dd781eaecbba00ac3e6fe73d914f899a71547","0.000695","No"
"0x704d312f696d7237b50d1f3534a24004d99f18f1","0.00069","No"
"0xaeb2914f66222fa7ad138e128a0575048bc76032","0.000444","No"
"0x000000000000000000000000000000000000dead","0.00042499","No"
"0xdc867b55e4294775acf91f126e43670704e04295","0.000413","No"
"0x20d4060d8e489ae959b9be5d8bb5705ee9d2624c","0.0003","No"
"0x67cf1500fe278fe944ccb443333b2f23b020f09a","0.000291","No"
"0x2702d89c1c8658b49c45dd460deebcc45faec03c","0.000184","No"
"0x74b7864499ef49d69fc16a04a4af4e18a20e710c","0.00017","No"
"0x6d6c44ca0d451576627a798b5e348ad44dfdec19","0.0001","No"
"0x63d05867325891293407dda2610c811adfc73ecb","0.0001","No"
"0xa1bfdb3c373a4452676a68feda4ba98c481611a2","0.000085","No"
"0x0a4d5590f3619b119e93c4e5fac9e983d6b63d75","0.000083","No"
"0x0fd845e234d0fc9bd661b69d78099d2fe8c6952a","0.000012","No"
"0x430805b37bec4facd39f4bc77c12679a05781a01","0.000011","No"
"0xc9c6cc17a8fcd3bc25a127b5d08a3afada4b5044","0.00000722","No"
"0x28060dcbf0ce053473434bef98cd4ea60941523a","0.00000099","No"
"0x4314de05e64987ff389e6f14452b719fd1febf75","0.00000061","No"
"0xe66d9567958139ece7a95a683229a24798afaacc","0.00000001","No"
"0x9e12b3685f14e7d9e599c576206fff5f6ad016ed","0.000000000000000006","No"
"0x53222470cdcfb8081c0e3a50fd106f0d69e63f20","0.000000000000000001","No"
